#FOR THE FULL HISTORICAL DATA VISIT : https://ork.ad
time,open,high,low,close,volume
2026-01-05T01:00:00Z,10020.05,10042.72,10020.05,10031.51,358.0
2026-01-05T01:03:00Z,10031.51,10031.51,10025.76,10026.28,103.0
2026-01-05T01:06:00Z,10026.28,10032.73,10026.01,10031.77,86.0
2026-01-05T01:09:00Z,10031.77,10034.22,10029.52,10033.78,93.0
2026-01-05T01:12:00Z,10033.78,10034.72,10031.26,10033.76,53.0
2026-01-05T01:15:00Z,10033.76,10036.27,10031.76,10036.01,87.0
2026-01-05T01:18:00Z,10036.01,10036.28,10032.76,10033.03,32.0
2026-01-05T01:21:00Z,10033.03,10037.03,10033.03,10035.73,27.0
2026-01-05T01:24:00Z,10035.73,10036.72,10035.27,10036.71,21.0
2026-01-05T01:27:00Z,10036.71,10039.27,10036.01,10039.27,46.0
2026-01-05T01:30:00Z,10039.27,10042.28,10038.78,10041.78,147.0
2026-01-05T01:33:00Z,10041.78,10044.27,10041.78,10043.77,67.0
2026-01-05T01:36:00Z,10043.77,10046.02,10042.76,10045.26,71.0
2026-01-05T01:39:00Z,10045.26,10045.26,10043.01,10044.03,55.0
2026-01-05T01:42:00Z,10044.03,10044.03,10042.51,10044.03,20.0
2026-01-05T01:45:00Z,10044.03,10044.22,10042.26,10042.76,45.0
2026-01-05T01:48:00Z,10042.76,10043.78,10041.26,10043.02,63.0
2026-01-05T01:51:00Z,10043.02,10045.03,10042.76,10045.03,62.0
2026-01-05T01:54:00Z,10045.03,10045.28,10043.01,10044.02,60.0
2026-01-05T01:57:00Z,10044.02,10044.23,10039.27,10040.01,107.0
2026-01-05T02:00:00Z,10040.01,10042.27,10040.01,10041.77,52.0
2026-01-05T02:03:00Z,10041.77,10041.77,10039.26,10039.26,40.0
2026-01-05T02:06:00Z,10039.26,10039.77,10038.01,10038.51,48.0
2026-01-05T02:09:00Z,10038.51,10039.52,10038.26,10039.52,27.0
2026-01-05T02:12:00Z,10039.52,10039.73,10038.27,10039.03,33.0
2026-01-05T02:15:00Z,10039.03,10040.71,10037.78,10038.77,47.0
2026-01-05T02:18:00Z,10038.77,10040.73,10038.77,10040.26,10.0
2026-01-05T02:21:00Z,10040.26,10040.78,10038.52,10040.52,34.0
2026-01-05T02:24:00Z,10040.52,10041.76,10039.76,10040.78,47.0
2026-01-05T02:27:00Z,10040.78,10041.72,10034.26,10036.01,93.0
2026-01-05T02:30:00Z,10036.01,10039.71,10035.77,10039.01,38.0
2026-01-05T02:33:00Z,10039.01,10039.52,10038.03,10039.52,36.0
2026-01-05T02:36:00Z,10039.52,10039.78,10036.51,10038.27,53.0
2026-01-05T02:39:00Z,10038.27,10040.78,10038.27,10038.77,45.0
2026-01-05T02:42:00Z,10038.77,10040.51,10038.77,10039.02,29.0
2026-01-05T02:45:00Z,10039.02,10040.78,10037.52,10040.52,38.0
2026-01-05T02:48:00Z,10040.52,10041.22,10039.78,10040.02,26.0
2026-01-05T02:51:00Z,10040.02,10040.53,10038.01,10038.53,36.0
2026-01-05T02:54:00Z,10038.53,10038.78,10037.53,10038.53,51.0
2026-01-05T02:57:00Z,10038.53,10039.28,10037.26,10038.26,31.0
2026-01-05T03:00:00Z,10038.26,10039.53,10037.26,10039.53,19.0
2026-01-05T03:03:00Z,10039.53,10039.53,10037.76,10038.02,29.0
2026-01-05T03:06:00Z,10038.02,10038.02,10037.27,10038.02,20.0
2026-01-05T03:09:00Z,10038.02,10038.02,10037.27,10037.71,18.0
2026-01-05T03:12:00Z,10037.71,10037.71,10035.27,10036.01,33.0
2026-01-05T03:15:00Z,10036.01,10036.28,10034.53,10035.53,34.0
2026-01-05T03:18:00Z,10035.53,10037.71,10035.26,10037.71,16.0
2026-01-05T03:21:00Z,10037.71,10037.71,10035.28,10036.02,25.0
2026-01-05T03:24:00Z,10036.02,10036.53,10034.77,10036.28,36.0
2026-01-05T03:27:00Z,10036.28,10036.52,10034.76,10036.02,55.0
2026-01-05T03:30:00Z,10036.02,10036.28,10035.01,10036.26,40.0
2026-01-05T03:33:00Z,10036.26,10037.53,10035.77,10037.01,42.0
